seed	route	factor	repeat	r2_drop	mae_increase
19	full	lexicality	44	0.007822532159369344	0.0008797612545262887
19	full	lexicality	45	0.0077726270489021365	0.0010096963221893004
19	full	lexicality	46	0.014851675086606453	0.0007598145867824709
19	full	lexicality	47	0.00731611562938983	7.14841712619145e-05
19	full	lexicality	48	0.014852861559049302	0.0008032872255993306
19	full	lexicality	49	0.014944959709104477	0.0006730967957785453
19	full	lexicality	50	0.0074410883622755275	4.7832145490683126e-05
19	full	lexicality	51	0.00747277647266309	0.0002919216566547693
19	full	lexicality	52	0.014631638022557847	0.00039215711214605
19	full	lexicality	53	0.014680356660582428	0.0004623281925147278
19	full	lexicality	54	0.014439729651568034	3.873814330957251e-05
19	full	lexicality	55	0.007753223576379087	0.0005342325977707868
19	full	lexicality	56	0.01534106108894917	0.001236290794775767
19	full	lexicality	57	0.007676376245296157	0.0006613766118109647
19	full	lexicality	58	0.007711623773012821	0.0005090573641092569
19	full	lexicality	59	0.007392962960472649	0.0003547320597297142
19	full	lexicality	60	0.014660953188059378	0.00019994127619532565
19	full	lexicality	61	0.007757969466151149	0.0008062883962192367
19	full	lexicality	62	0.014774827755523523	0.0003494226842744967
19	full	lexicality	63	0.01518677319056183	0.0011625436638392425
19	full	lexicality	64	0.014597576967284365	0.00015925969100131013
19	full	lexicality	65	0.007915223545646	0.001155393103542575
19	full	lexicality	66	0.008040789514753177	0.000881029100258824
19	full	lexicality	67	0.00040897925393090784	0.0007599794586188521
19	full	lexicality	68	0.007185210534288999	0.00010175866338158965
19	full	lexicality	69	0.007932254073282907	0.0011782601323688004
19	full	lexicality	70	0.015008335929879713	0.0009769502942369689
19	full	lexicality	71	0.015074085095540757	0.0007356518366957165
19	full	lexicality	72	0.007833630324791119	0.0007498450973349724
19	full	lexicality	73	0.0076646848436530135	0.0004042975301077681
19	full	lexicality	74	0.014728482062385306	0.000398249943707258
19	full	lexicality	75	0.014601729620834947	0.0003517308891097942
19	full	lexicality	76	0.015059427512790102	0.0007247151088341369
19	full	lexicality	77	0.015014861528316326	0.0006761432115591458
19	full	lexicality	78	0.015252522356222875	0.0011109253507836578
19	full	lexicality	79	0.014805922629689605	0.0004808809598278209
19	full	lexicality	80	0.007617152678071615	0.0005344879599285569
19	full	lexicality	81	0.014614014258699681	0.00037512755272326934
19	full	lexicality	82	0.007396522377801862	0.00042515850225615867
19	full	lexicality	83	0.007645281371130186	0.0007160413406471604
19	full	lexicality	84	0.007743311883400494	0.0006125493523782104
19	full	lexicality	85	0.007535559457216623	0.00035447669757194405
19	full	lexicality	86	0.007804908395510957	0.0008624763329457344
19	full	lexicality	87	0.0003943216711802533	0.0005751242999618746
19	full	lexicality	88	0.007789657576538933	0.0007155117058599246
19	full	lexicality	89	0.015041803748931715	0.0009098256296488881
19	full	lexicality	90	0.007643501662465746	0.000860470276267903
19	full	lexicality	91	0.0001713184260242473	0.0003127373836424689
19	full	lexicality	92	0.007614186496964215	0.0006237414423975532
19	full	lexicality	93	0.014857014212599995	0.0007153015888628558
19	full	lexicality	94	0.015105773205928319	0.0011752589617488908
19	full	lexicality	95	0.00025291164687923917	0.00026543333210000963
19	full	lexicality	96	0.0003937284349586623	0.0005329195068775605
19	full	lexicality	97	0.01474254640891437	0.0004246930231013267
19	full	lexicality	98	0.00014200326052271617	0.00022043748539285826
19	full	lexicality	99	0.007647654316016439	0.0008736684229650842
20	full	lexicality	0		-1.9693157483358266e-05
20	full	lexicality	1		-0.00015080411958235274
20	full	lexicality	2		7.393967152863421e-05
20	full	lexicality	3		-9.663927272603699e-05
20	full	lexicality	4		-0.00015386623607543948
20	full	lexicality	5		0.00023252101574447286
20	full	lexicality	6		9.537581627619938e-05
20	full	lexicality	7		4.163851141441872e-05
20	full	lexicality	8		-0.00018037169219691212
20	full	lexicality	9		0.00011782823549929319
20	full	lexicality	10		6.296699456310485e-05
20	full	lexicality	11		5.722295922035506e-05
20	full	lexicality	12		0.00013277228217424032
20	full	lexicality	13		7.592119216937466e-05
20	full	lexicality	14		0.0001283690461714006
20	full	lexicality	15		0.00013926838437590666
20	full	lexicality	16		-3.4662878398383085e-05
20	full	lexicality	17		0.00017642631689741232
20	full	lexicality	18		0.00019509455130746652
20	full	lexicality	19		4.327383707974659e-05
20	full	lexicality	20		0.00012936397070573927
20	full	lexicality	21		0.00024137483210125762
20	full	lexicality	22		9.773321026147839e-05
20	full	lexicality	23		0.000133148155518778
20	full	lexicality	24		0.0001872656580239867
20	full	lexicality	25		0.00020799708026374153
20	full	lexicality	26		0.00025473922588991997
20	full	lexicality	27		6.368906288305512e-05
20	full	lexicality	28		-1.1855935771941557e-05
20	full	lexicality	29		-0.00022530684935190368
20	full	lexicality	30		7.560099160388092e-05
20	full	lexicality	31		0.0001123827306110086
20	full	lexicality	32		0.0002804882908535866
20	full	lexicality	33		2.2858611276437187e-05
20	full	lexicality	34		0.00016751682776158447
20	full	lexicality	35		-6.747239688431952e-07
20	full	lexicality	36		0.0001106657377567188
20	full	lexicality	37		0.0002860237913587683
20	full	lexicality	38		-0.0001279455083059147
20	full	lexicality	39		6.779376843142962e-05
20	full	lexicality	40		0.0003367246539675399
20	full	lexicality	41		0.00010763361980259661
20	full	lexicality	42		-0.00013342101173316467
20	full	lexicality	43		2.2858611276437187e-05
20	full	lexicality	44		0.0003098173300916116
20	full	lexicality	45		0.00012871924527586235
